country_code,total_arrivals_1995,total_arrivals_1996,total_arrivals_1997,total_arrivals_1998,total_arrivals_1999,total_arrivals_2000,total_arrivals_2001,total_arrivals_2002,total_arrivals_2003,total_arrivals_2004,total_arrivals_2005,total_arrivals_2006,total_arrivals_2007,total_arrivals_2008,total_arrivals_2009,total_arrivals_2010,total_arrivals_2011,total_arrivals_2012,total_arrivals_2013,total_arrivals_2014,total_arrivals_2015,total_arrivals_2016,total_arrivals_2017,total_arrivals_2018,total_arrivals_2019
BRB,927000.0,957000.0,990000.0,1019000.0,947000.0,1078000.0,1035000.0,1021000.0,1090000.0,1273000.0,1111000.0,1102000.0,1191000.0,1165000.0,1154000.0,1197000.0,1187000.0,1053000.0,1079000.0,1079000.0,1179000.0,1227000.0,1345000.0,1356000.0,966000.0
BTN,4800.000191,5199.999809,5400.000095,6199.999809,7199.999809,7599.999905,6400.000095,5599.999905,6300.000191,9199.999809,13600.000380000001,17299.99924,21000.0,28000.0,23000.0,41000.0,66000.0,105000.0,116000.0,133000.0,155000.0,210000.0,255000.0,274000.0,316000.0
CAN,41657000.0,43256000.0,45076000.0,48064000.0,49055000.0,48638000.0,47147000.0,44896000.0,38903000.0,38845000.0,36160000.0,33390000.0,30373000.0,27370000.0,24696000.0,25621000.0,25066000.0,25318000.0,25167000.0,25558000.0,27555000.0,30142000.0,31081000.0,31274000.0,32430000.0
CEB,188652644.9,199135866.3,203579244.0,200151256.8,200062962.0,206946379.3,182538824.4,173510081.4,177955845.4,200553517.6,208136165.2,215062885.9,222544621.8,217002009.9,205767642.4,211503443.3,219665361.6,230513827.8,239484451.8,247176982.1,265484205.1,282858334.2,293799709.7,301502122.5,314638365.1
CHN,46387000.0,51128000.0,57588000.0,63478000.0,72796000.0,83444000.0,89013000.0,97908000.0,91662000.0,109038000.0,120292000.0,124942000.0,131873000.0,130027000.0,126476000.0,133762000.0,135423000.0,132405000.0,129078000.0,128499000.0,133820000.0,141774000.0,153260000.0,158606000.0,162538000.0
COL,1433000.0,751000.0,758000.0,823000.0,725000.0,707000.0,788000.0,661000.0,668000.0,840000.0,981000.0,2096000.0,2381000.0,2545000.0,2649000.0,1701000.0,2356000.0,2434000.0,2595000.0,2866000.0,3371000.0,3675000.0,4056000.0,4398000.0,4529000.0
COM,23000.0,24000.0,26000.0,27000.0,24000.0,24000.0,19399.99962,18899.99962,20600.00038,23299.99924,25899.99962,28500.0,15199.99981,14800.00019,11300.00019,15300.00019,18799.99924,22799.99924,21899.99962,22799.99924,23600.00038,26799.99924,28000.0,35900.00153,45099.99847
CPV,28000.0,37000.0,45000.0,52000.0,67000.0,115000.0,134000.0,126000.0,150000.0,157000.0,198000.0,242000.0,267000.0,285000.0,287000.0,336000.0,428000.0,482000.0,503000.0,494000.0,520000.0,598000.0,668000.0,710000.0,758000.0
CRI,924000.0,940000.0,1013000.0,1167000.0,1267000.0,1278000.0,1320000.0,1335000.0,1514000.0,1771000.0,1959000.0,2071000.0,2302000.0,2409000.0,2309000.0,2495000.0,2526000.0,2542000.0,2641000.0,2760000.0,2899000.0,3204000.0,3231000.0,3313000.0,3366000.0
CSS,8608436.645,9027600.363,9357302.28,9482950.877,9901109.406,11115377.44,10923386.39,11075114.14,12223187.43,13943780.1,13151761.26,13524000.0,13774000.0,13494000.0,14132000.0,14853000.0,15421000.0,15540000.0,15674000.0,16644000.0,17200000.0,17638000.0,18488000.0,19669834.92,19819087.26
CUB,745000.0,1004000.0,1170000.0,1416000.0,1603000.0,1774000.0,1775000.0,1686000.0,1906000.0,2049000.0,2319000.0,2221000.0,2152000.0,2348000.0,2430000.0,2532000.0,2716000.0,2847000.0,2862000.0,3014000.0,3540000.0,4009000.0,4654000.0,4712000.0,4276000.0
CUW,396000.0,387000.0,422000.0,437000.0,433000.0,514000.0,519000.0,545000.0,508000.0,452000.0,510000.0,572000.0,664000.0,773000.0,808000.0,762000.0,837000.0,908000.0,1071000.0,1129000.0,1072000.0,944000.0,1058000.0,1210000.0,1293000.0
CYM,1044000.0,1173000.0,1248000.0,1275000.0,1431000.0,1385000.0,1549000.0,1878000.0,2113000.0,1953000.0,1967000.0,2197000.0,2008000.0,1856000.0,1792000.0,1886000.0,1710000.0,1829000.0,1721000.0,1993000.0,2102000.0,2097000.0,2147000.0,2384000.0,2334000.0
CYP,2253000.0,2089000.0,2194000.0,2357000.0,2578000.0,2912000.0,2841000.0,2495000.0,2416000.0,2478000.0,2657000.0,2629000.0,2671000.0,2631000.0,2370000.0,2450000.0,2626000.0,2635000.0,2626000.0,2558000.0,2780000.0,3286000.0,3750000.0,4024000.0,4117000.0
DEU,14847000.0,15205000.0,15837000.0,16511000.0,17116000.0,18983000.0,17861000.0,17969000.0,18399000.0,20137000.0,21500000.0,23569000.0,24421000.0,24884000.0,24220000.0,26875000.0,28374000.0,30411000.0,31545000.0,32999000.0,34970000.0,35555000.0,37452000.0,38881000.0,39563000.0
DMA,203000.0,261000.0,299000.0,312000.0,280000.0,312000.0,276000.0,208000.0,254000.0,466000.0,381000.0,465000.0,437000.0,468000.0,608000.0,595000.0,418000.0,348000.0,311000.0,370000.0,358000.0,356000.0,230000.0,199000.0,322000.0
DOM,1806000.0,2037000.0,2482000.0,2702000.0,2932000.0,3161000.0,3090000.0,3058000.0,3680000.0,3907000.0,3981000.0,4268000.0,4365000.0,4455000.0,4489000.0,4478000.0,4654000.0,4901000.0,5114000.0,5576000.0,6129000.0,6769000.0,7296000.0,7551000.0,7550000.0
DZA,520000.0,605000.0,635000.0,678000.0,749000.0,866000.0,901000.0,988000.0,1166000.0,1234000.0,1443000.0,1638000.0,1743000.0,1772000.0,1912000.0,2070000.0,2395000.0,2634000.0,2733000.0,2301000.0,1710000.0,2039000.0,2451000.0,2657000.0,2371000.0
EAP,70697194.35,77176028.09,83299555.23,88459891.27,101742796.7,116421087.8,125476068.1,136515478.0,125730115.6,152757065.1,165979607.0,174755562.0,188426346.8,188955620.3,186407888.8,200147994.2,208104879.7,211812934.9,217359645.7,219559756.9,232431016.3,246180646.4,267153312.5,281199029.5,292914980.5
EAR,163202805.6,170263612.5,174864014.9,177703744.6,181005514.4,190532159.7,184896885.3,190886934.7,186159242.8,208858479.3,220351005.2,222512638.3,237447686.6,253965565.9,245231108.2,260218031.2,251178036.0,266770386.7,276291315.7,298030473.7,305091375.5,301876958.5,326787964.8,350576700.2,369336988.9
EAS,113102969.7,124058070.5,127928324.7,130459930.0,147483728.1,168432327.3,178985720.9,195104065.8,180620903.5,224882086.7,243948760.3,259738033.7,283650880.8,281774082.1,277214276.8,307340770.9,325108334.9,342226043.6,360414450.4,378699335.7,396249901.2,418805639.1,446066533.2,476456920.3,487076537.2
ECA,35604565.48,42568224.27,55484661.92,49023975.21,48231539.25,55790718.02,58711959.16,64885128.16,67843736.4,77077004.32,86573758.92,89556877.55,105674501.1,114887343.7,107539115.8,111459664.2,124756942.4,134077664.4,142909183.5,132250688.9,133266467.3,123699921.9,138340369.8,157161038.9,167840542.5
ECS,600555148.1,636958586.5,674422531.4,684813634.7,695759137.6,734616092.1,703788945.6,712450071.7,725406046.7,772402907.7,803061672.2,840964249.4,869990503.7,870954888.7,841072569.6,856173587.0,904411098.9,929785345.1,964683666.1,981440067.9,1010743320.0,1038921833.0,1095570941.0,1140489223.0,1183445652.0
