country_code,total_revenues_1995,total_revenues_1996,total_revenues_1997,total_revenues_1998,total_revenues_1999,total_revenues_2000,total_revenues_2001,total_revenues_2002,total_revenues_2003,total_revenues_2004,total_revenues_2005,total_revenues_2006,total_revenues_2007,total_revenues_2008,total_revenues_2009,total_revenues_2010,total_revenues_2011,total_revenues_2012,total_revenues_2013,total_revenues_2014,total_revenues_2015,total_revenues_2016,total_revenues_2017,total_revenues_2018,total_revenues_2019
PHL,1141000000.0,1551000000.0,2347000000.0,1431000000.0,2652000000.0,2334000000.0,2011000000.0,2018000000.0,1821000000.0,2390000000.0,2863000000.0,4051000000.0,5523000000.0,3293000000.0,2916000000.0,3441000000.0,4053000000.0,4963000000.0,5599000000.0,6059000000.0,6414000000.0,6289000000.0,8349000000.0,9715000000.0,11481000000.0
POL,6927000000.0,8764000000.0,9053000000.0,8321000000.0,6498000000.0,6128000000.0,5121000000.0,4971000000.0,4733000000.0,6521000000.0,7161000000.0,8153000000.0,11729000000.0,12897000000.0,9888000000.0,9875000000.0,11471000000.0,11704000000.0,12242000000.0,12691000000.0,11164000000.0,11922000000.0,13925000000.0,15569000000.0,15712000000.0
PRI,1828000000.0,1898000000.0,2046000000.0,2233000000.0,2139000000.0,2388000000.0,2728000000.0,2486000000.0,2677000000.0,3024000000.0,3239000000.0,3369000000.0,3414000000.0,3535000000.0,3176000000.0,3211000000.0,3143000000.0,3193000000.0,3311000000.0,3439000000.0,3825000000.0,3974000000.0,3868000000.0,3303000000.0,3612000000.0
PRT,5646000000.0,5572000000.0,5415000000.0,6390000000.0,6047000000.0,6029000000.0,6264000000.0,6643000000.0,7687000000.0,8902000000.0,9038000000.0,10487000000.0,12945000000.0,14081000000.0,12357000000.0,12984000000.0,14911000000.0,14578000000.0,16080000000.0,17577000000.0,16007000000.0,17347000000.0,21586000000.0,24366000000.0,24736000000.0
PRY,162000000.0,159000000.0,145000000.0,128000000.0,95000000.0,88000000.0,91000000.0,76000000.0,81000000.0,87000000.0,96000000.0,112000000.0,121000000.0,128000000.0,225000000.0,243000000.0,261000000.0,291000000.0,299000000.0,314000000.0,348000000.0,356000000.0,399000000.0,393000000.0,409000000.0
PSS,573627135.9,586004716.8,591809382.6,487100587.8,540277889.6,460898875.3,481279973.6,573066767.7,722400520.7,851214395.8,1017098087.0,1022198447.0,1121568629.0,1421896983.0,1187653834.0,1378233235.0,1581634366.0,1671951539.0,1705351733.0,1820070721.0,1806695409.0,1932423304.0,2029445732.0,2248465668.0,2233673134.0
PST,344129000000.0,361931000000.0,363114000000.0,368946000000.0,374758000000.0,378601000000.0,361174000000.0,368941000000.0,407600000000.0,476119000000.0,507231000000.0,538530000000.0,612239000000.0,679950000000.0,617085000000.0,684938000000.0,777852000000.0,805874000000.0,867693000000.0,910481000000.0,863146000000.0,880103000000.0,934171000000.0,1011620000000.0,1000790000000.0
ROU,689000000.0,670000000.0,603000000.0,351000000.0,306000000.0,394000000.0,419000000.0,400000000.0,523000000.0,607000000.0,1324000000.0,1675000000.0,2073000000.0,2626000000.0,1688000000.0,1631000000.0,2016000000.0,1904000000.0,2307000000.0,2388000000.0,2229000000.0,2474000000.0,3553000000.0,3879000000.0,4240000000.0
SLB,17100000.38,16000000.0,9699999.809,7099999.905,9699999.809,4000000.0,8800000.191,800000.0119,1600000.024,3519999.981,6400000.095,30899999.62,33099998.47,31200000.76,39299999.24,50799999.24,65900001.53,65400001.53,70500000.0,64800003.05,60000000.0,71000000.0,79000000.0,92000000.0,82000000.0
SSA,6267493844.0,7031606331.0,7709152150.0,8206243972.0,8508987209.0,7484550397.0,8000667027.0,8952974872.0,13047702639.0,15158266186.0,17366201929.0,19457191297.0,22860245556.0,22983948556.0,21649124946.0,24094080847.0,26543101866.0,28910208745.0,29040879011.0,30070530708.0,27276968992.0,27399226564.0,31255167369.0,33040104572.0,32435167375.0
SSF,7201595661.0,8010816561.0,8647723470.0,9142858941.0,9509458360.0,8536849772.0,9146054871.0,10135047778.0,14379723222.0,16702396198.0,18958305698.0,21231548454.0,25110375234.0,25423463131.0,23547689913.0,26210207756.0,28933944901.0,31320184414.0,31307512960.0,32471946248.0,29639325945.0,29944070842.0,34084611185.0,36068855280.0,35296556424.0
SUR,52000000.0,44000000.0,38000000.0,36000000.0,45000000.0,42000000.0,26000000.0,17000000.0,18000000.0,52000000.0,96000000.0,109000000.0,73000000.0,83000000.0,70000000.0,69000000.0,69000000.0,79000000.0,92000000.0,103000000.0,99000000.0,74000000.0,61000000.0,73000000.0,64000000.0
SVK,630000000.0,681000000.0,555000000.0,493000000.0,465000000.0,441000000.0,649000000.0,742000000.0,876000000.0,931000000.0,1282000000.0,1655000000.0,2352000000.0,3096000000.0,2541000000.0,2334000000.0,2515000000.0,2365000000.0,2702000000.0,2642000000.0,2480000000.0,2812000000.0,3024000000.0,3318000000.0,3353000000.0
SVN,1128000000.0,1280000000.0,1225000000.0,1135000000.0,1011000000.0,1016000000.0,1059000000.0,1152000000.0,1427000000.0,1725000000.0,1894000000.0,2075000000.0,2464000000.0,2955000000.0,2817000000.0,2808000000.0,3048000000.0,2793000000.0,2966000000.0,3052000000.0,2594000000.0,2717000000.0,3057000000.0,3377000000.0,3240000000.0
SWZ,54000000.0,42000000.0,44000000.0,51000000.0,15000000.0,24000000.0,23000000.0,45000000.0,70040000.92,75099998.47,77300003.05,75099998.47,32200000.76,26299999.24,40099998.47,51400001.53,10100000.38,29100000.38,4199999.808999999,15600000.38,14199999.81,13199999.81,13199999.81,16399999.62,14300000.19
SYC,224000000.0,182000000.0,195000000.0,191000000.0,202000000.0,225000000.0,221000000.0,247000000.0,258000000.0,256000000.0,269000000.0,323000000.0,396000000.0,408000000.0,349000000.0,352000000.0,380000000.0,429000000.0,484000000.0,481000000.0,483000000.0,505000000.0,585000000.0,611000000.0,618000000.0
THA,9257000000.0,10367000000.0,9052000000.0,7954000000.0,9416000000.0,9935000000.0,9378000000.0,10388000000.0,10456000000.0,13054000000.0,12103000000.0,16624000000.0,20625000000.0,22510000000.0,19811000000.0,23796000000.0,30924000000.0,34565000000.0,41765000000.0,38451000000.0,44851000000.0,48459000000.0,57057000000.0,61383000000.0,65082000000.0
TLA,20706311396.0,22869702460.0,24577971460.0,25940347469.0,26379588959.0,28704766029.0,28086055232.0,27187116655.0,30120970938.0,34789766674.0,39403268748.0,43515810258.0,48792735703.0,53130272198.0,48948362276.0,51545756943.0,56327050110.0,60800199345.0,64778836859.0,71056463231.0,73310432389.0,77971673931.0,82926451161.0,86457390604.0,88134625849.0
TSS,7201595661.0,8010816561.0,8647723470.0,9142858941.0,9509458360.0,8536849772.0,9146054871.0,10135047778.0,14379723222.0,16702396198.0,18958305698.0,21231548454.0,25110375234.0,25423463131.0,23547689913.0,26210207756.0,28933944901.0,31320184414.0,31307512960.0,32471946248.0,29639325945.0,29944070842.0,34084611185.0,36068855280.0,35296556424.0
TTO,232000000.0,262000000.0,344000000.0,356000000.0,365000000.0,371000000.0,361000000.0,402000000.0,437000000.0,568000000.0,593000000.0,517000000.0,621000000.0,557000000.0,548000000.0,630000000.0,650000000.0,852000000.0,856000000.0,875000000.0,809000000.0,708000000.0,717000000.0,541000000.0,484000000.0
TUN,1838000000.0,1895000000.0,1858000000.0,1980000000.0,2118000000.0,1977000000.0,2061000000.0,1831000000.0,1935000000.0,2432000000.0,2800000000.0,2999000000.0,3373000000.0,3909000000.0,3524000000.0,3477000000.0,2529000000.0,2931000000.0,2863000000.0,3042000000.0,1869000000.0,1706000000.0,1782000000.0,2320000000.0,2683000000.0
USA,93743000000.0,102196000000.0,107047000000.0,105095000000.0,109188000000.0,118316000000.0,105454000000.0,97415000000.0,94814000000.0,107210000000.0,116682000000.0,121030000000.0,134800000000.0,149094000000.0,137111000000.0,161821000000.0,178935000000.0,195113000000.0,213105000000.0,222746000000.0,230574000000.0,228549000000.0,231123000000.0,237726000000.0,233461000000.0
WLD,509365000000.0,541737000000.0,546567000000.0,551287000000.0,568885000000.0,581592000000.0,564420000000.0,581244000000.0,630409000000.0,748779000000.0,808630000000.0,874865000000.0,1014620000000.0,1124970000000.0,1026580000000.0,1137980000000.0,1276900000000.0,1342510000000.0,1446290000000.0,1525740000000.0,1468670000000.0,1498020000000.0,1629730000000.0,1766170000000.0,1815190000000.0
ZAF,2654000000.0,3137000000.0,3422000000.0,3419000000.0,3407000000.0,3338000000.0,3256000000.0,3695000000.0,6674000000.0,7571000000.0,8629000000.0,9211000000.0,10226000000.0,9178000000.0,8684000000.0,10309000000.0,10706000000.0,11202000000.0,10468000000.0,10484000000.0,9140000000.0,8807000000.0,9706000000.0,9789000000.0,9064000000.0
