country_code,total_revenues_1995,total_revenues_1996,total_revenues_1997,total_revenues_1998,total_revenues_1999,total_revenues_2000,total_revenues_2001,total_revenues_2002,total_revenues_2003,total_revenues_2004,total_revenues_2005,total_revenues_2006,total_revenues_2007,total_revenues_2008,total_revenues_2009,total_revenues_2010,total_revenues_2011,total_revenues_2012,total_revenues_2013,total_revenues_2014,total_revenues_2015,total_revenues_2016,total_revenues_2017,total_revenues_2018,total_revenues_2019
CHL,1186000000.0,1209000000.0,1401000000.0,1431000000.0,1243000000.0,1179000000.0,1184000000.0,1221000000.0,1309000000.0,1571000000.0,1608000000.0,1853000000.0,2224000000.0,2481000000.0,2380000000.0,2362000000.0,2723000000.0,3158000000.0,3171000000.0,3202000000.0,3412000000.0,3744000000.0,4115000000.0,3882000000.0,3332000000.0
CMR,75000000.0,151000000.0,119000000.0,114000000.0,92000000.0,132000000.0,182000000.0,124000000.0,266000000.0,212000000.0,229000000.0,231000000.0,254000000.0,167000000.0,271000000.0,171000000.0,423000000.0,377000000.0,607000000.0,629000000.0,476000000.0,508000000.0,544000000.0,633000000.0,681000000.0
COL,887000000.0,1362000000.0,1315000000.0,1216000000.0,1231000000.0,1313000000.0,1483000000.0,1237000000.0,1191000000.0,1535000000.0,1891000000.0,2370000000.0,2586000000.0,2936000000.0,3050000000.0,3441000000.0,3801000000.0,4363000000.0,4759000000.0,4887000000.0,5235000000.0,5584000000.0,5882000000.0,6624000000.0,6786000000.0
CPV,29000000.0,37000000.0,50000000.0,45000000.0,56000000.0,64000000.0,77000000.0,100000000.0,135000000.0,153000000.0,177000000.0,280000000.0,375000000.0,432000000.0,349000000.0,387000000.0,438000000.0,452000000.0,483000000.0,453000000.0,380000000.0,397000000.0,451000000.0,520000000.0,567000000.0
CRI,763000000.0,797000000.0,860000000.0,1038000000.0,1256000000.0,1629000000.0,1480000000.0,1429000000.0,1573000000.0,1755000000.0,2008000000.0,2066000000.0,2454000000.0,2811000000.0,2216000000.0,2426000000.0,2646000000.0,2773000000.0,3171000000.0,3137000000.0,3408000000.0,3776000000.0,3758000000.0,3865000000.0,4102000000.0
CUB,1100000000.0,1333000000.0,1515000000.0,1759000000.0,1901000000.0,1948000000.0,1840000000.0,1769000000.0,1999000000.0,2114000000.0,2591000000.0,2414000000.0,2415000000.0,2535000000.0,2249000000.0,2396000000.0,2503000000.0,2614000000.0,2608000000.0,2546000000.0,2819000000.0,3069000000.0,3302000000.0,2782000000.0,2645000000.0
CUW,175000000.0,186000000.0,201000000.0,261000000.0,260000000.0,227000000.0,271000000.0,217000000.0,223000000.0,224000000.0,244000000.0,277000000.0,329000000.0,383000000.0,378000000.0,438000000.0,540000000.0,676000000.0,778000000.0,820000000.0,712000000.0,644000000.0,572000000.0,604000000.0,706000000.0
CYM,394000000.0,368000000.0,501000000.0,534000000.0,525000000.0,559000000.0,585000000.0,607000000.0,518000000.0,523000000.0,356000000.0,509000000.0,481000000.0,518000000.0,458000000.0,465000000.0,472000000.0,489000000.0,500000000.0,565000000.0,680000000.0,699000000.0,785000000.0,883000000.0,933000000.0
CYP,2018044189.0,1904723511.0,1850360596.0,1918303589.0,2115000000.0,2137000000.0,2203000000.0,2178000000.0,2325000000.0,2552000000.0,2644000000.0,2692007568.0,3107000000.0,3232000000.0,2476000000.0,2137000000.0,2603000000.0,2603000000.0,2930000000.0,2924000000.0,2525664307.0,2870000000.0,3274000000.0,3449000000.0,3245000000.0
DEU,24053000000.0,23982000000.0,24500000000.0,25806000000.0,25327000000.0,24943000000.0,24182000000.0,26717000000.0,30129000000.0,36417000000.0,40518000000.0,45560000000.0,49320000000.0,53402000000.0,47499000000.0,49116000000.0,53465000000.0,51626000000.0,55486000000.0,58721000000.0,50669000000.0,52234000000.0,55750000000.0,59446000000.0,58201000000.0
EAS,96989717288.0,104819000000.0,99535705292.0,91469342089.0,102063000000.0,110276000000.0,112780000000.0,123996000000.0,125092000000.0,163093000000.0,177122000000.0,191297000000.0,233262000000.0,259694000000.0,245712000000.0,307049000000.0,364317000000.0,399084000000.0,437282000000.0,464236000000.0,446663000000.0,466999000000.0,505111000000.0,567412000000.0,578564000000.0
ECU,315000000.0,330000000.0,335000000.0,330000000.0,377000000.0,451000000.0,438000000.0,449000000.0,408000000.0,464000000.0,488000000.0,492000000.0,626000000.0,745000000.0,674000000.0,786000000.0,849000000.0,1039000000.0,1251000000.0,1487000000.0,1557000000.0,1729000000.0,2018000000.0,2279000000.0,2288000000.0
EGY,2954000000.0,3583000000.0,4046000000.0,2942000000.0,4361000000.0,4657000000.0,4119000000.0,4133000000.0,4704000000.0,6328000000.0,7206000000.0,8133000000.0,10327000000.0,12104000000.0,11757000000.0,13633000000.0,9333000000.0,10823000000.0,6747000000.0,7979000000.0,6897000000.0,3306000000.0,8636000000.0,12704000000.0,14256000000.0
FIN,2383000000.0,2408000000.0,2358000000.0,2371000000.0,2236000000.0,2035000000.0,2066000000.0,2238000000.0,2679000000.0,2977000000.0,3069000000.0,3515000000.0,4287000000.0,4875000000.0,4072000000.0,4496000000.0,5615000000.0,5418000000.0,5774000000.0,5409000000.0,4011000000.0,4017000000.0,5210000000.0,5763000000.0,5944000000.0
FJI,369000000.0,374000000.0,386000000.0,309000000.0,365000000.0,291000000.0,316000000.0,384000000.0,496000000.0,588000000.0,722000000.0,684000000.0,722000000.0,952000000.0,688000000.0,825000000.0,955000000.0,989000000.0,966000000.0,1091000000.0,1094000000.0,1149000000.0,1243000000.0,1370000000.0,1345000000.0
GHA,30000000.0,32000000.0,35000000.0,304000000.0,325000000.0,357000000.0,374000000.0,383000000.0,441000000.0,495000000.0,867000000.0,910000000.0,990000000.0,970000000.0,849000000.0,706000000.0,797000000.0,1154000000.0,1010000000.0,1027000000.0,911000000.0,952000000.0,919000000.0,996000000.0,1490000000.0
GTM,216000000.0,221000000.0,270000000.0,329000000.0,374000000.0,498000000.0,588000000.0,647000000.0,646000000.0,630000000.0,791000000.0,919000000.0,1055000000.0,1098300049.0,1086300049.0,1053300049.0,1077400024.0,1110000000.0,1160699951.0,1164400024.0,1169500000.0,1202699951.0,1217599976.0,1235099976.0,1227199951.0
